distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.986,0.0054772255750517,0.985,0.0055901699437495,0.99,0.0136930639376291,0.9974763155799696,0.0034557258694108,0.9875,0.0076546554461974
No aplica,SVM,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,SVM,MelSpectrogram,0.988,0.0075828754440515,0.98625,0.0081490030065033,0.995,0.0111803398874989,0.99873417721519,0.0028304657943035,0.990625,0.0079672179899887
No aplica,SVM,LogMelSpectrogram,0.999,0.0022360679774997,0.99875,0.0027950849718747,1.0,0.0,1.0,0.0,0.999375,0.0013975424859373
9-8-7,SVM,DeepONMF_W,0.925,0.0149999999999999,0.92375,0.0120221150385446,0.93,0.0325960120260132,0.9814028023077828,0.008681947668038,0.926875,0.0210328983380797
15-10-5,SVM,DeepONMF_W,0.924,0.0065192024052026,0.92,0.0120221150385445,0.94,0.0223606797749978,0.9840331446336784,0.0058073298113154,0.93,0.0071942902707633
10-6-4,SVM,DeepONMF_W,0.91,0.0079056941504209,0.9025,0.0113536888278655,0.94,0.0223606797749978,0.9837072251702792,0.00592807065336,0.92125,0.0097327571889983
8-5-3,SVM,DeepONMF_W,0.906,0.0054772255750516,0.89625,0.0113536888278656,0.945,0.0209165006633518,0.9849659373824916,0.0055181418198848,0.920625,0.0056768444139327
9-8-7,SVM,DeepONMF_H3,0.969,0.0138744369255116,0.97625,0.0120221150385445,0.94,0.0285043856274784,0.9848649570040444,0.0071984121278875,0.958125,0.0185668134718911
15-10-5,SVM,DeepONMF_H3,0.969,0.0074161984870956,0.9775,0.0071260964068696,0.935,0.0223606797749978,0.9836705837297428,0.0055243199172691,0.95625,0.0118996454779123
10-6-4,SVM,DeepONMF_H3,0.971,0.0151657508881031,0.98,0.0111803398874989,0.935,0.0335410196624968,0.9836788472255394,0.0084569230059657,0.9575,0.0218303114957162
8-5-3,SVM,DeepONMF_H3,0.967,0.0178885438199983,0.97625,0.0149216704828916,0.93,0.0325960120260131,0.9823569902442956,0.0082699189185192,0.953125,0.0230700360316146
No aplica,KNN,STFT,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,MFCC,0.998,0.0027386127875258,0.9975,0.0034232659844073,1.0,0.0,1.0,0.0,0.99875,0.0017116329922036
No aplica,KNN,MelSpectrogram,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,KNN,DeepONMF_W,0.8800000000000001,0.0209165006633518,0.8825,0.0194655143779967,0.8699999999999999,0.0370809924354783,0.964450474509183,0.0102338779686121,0.8762500000000001,0.0256364303774921
15-10-5,KNN,DeepONMF_W,0.902,0.0164316767251549,0.90375,0.0129602758458297,0.8949999999999999,0.0480884601541783,0.9718529914196822,0.012881158273775,0.899375,0.0270091130454149
10-6-4,KNN,DeepONMF_W,0.8949999999999999,0.0149999999999999,0.9075,0.0222731621015068,0.845,0.054198708471697,0.9593231478407293,0.0133067124129133,0.87625,0.0230276667836756
8-5-3,KNN,DeepONMF_W,0.897,0.0160468065358812,0.91375,0.0231334444041521,0.8300000000000001,0.0273861278752583,0.955648347374883,0.0064346342781168,0.871875,0.0118996454779123
9-8-7,KNN,DeepONMF_H3,0.937,0.0251495526799185,0.97625,0.0102697979532218,0.78,0.1164581469885211,0.9472595566655692,0.0270438599152269,0.878125,0.0587549864905099
15-10-5,KNN,DeepONMF_H3,0.952,0.0135092560861062,0.9825,0.005229125165838,0.8300000000000001,0.0622494979899436,0.9587088074405512,0.0147194457516436,0.90625,0.0314835026243904
10-6-4,KNN,DeepONMF_H3,0.959,0.0151657508881031,0.97375,0.0161777238819309,0.9,0.0395284707521047,0.9750387149596847,0.0095908151203763,0.936875,0.0213554369540873
8-5-3,KNN,DeepONMF_H3,0.962,0.0125499003980111,0.9875,0.0098821176880262,0.86,0.0335410196624968,0.9657917762689768,0.0080544233362176,0.92375,0.0195905350233218
No aplica,UjaNet,STFT,0.999,0.0022360679774997,1.0,0.0,0.995,0.0111803398874989,0.9987577639751553,0.0027777241956519,0.9975,0.0055901699437494
No aplica,UjaNet,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,MelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,UjaNet,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,UjaNet,DeepONMF_W,0.968,0.0075828754440515,0.97375,0.0167705098312484,0.945,0.0480884601541783,0.9863247080942016,0.0117825504563252,0.959375,0.0176776695296636
15-10-5,UjaNet,DeepONMF_W,0.959,0.0143178210632763,0.97125,0.0094785943050643,0.91,0.0518411033833193,0.9774645020051438,0.0126602220388899,0.940625,0.0275106513463421
10-6-4,UjaNet,DeepONMF_W,0.958,0.0213892496362074,0.97625,0.0204442840422451,0.885,0.0575543221661067,0.9715124551797172,0.0142569244794602,0.930625,0.0319759431057162
8-5-3,UjaNet,DeepONMF_W,0.964,0.0207364413533276,0.9775,0.0219195973959377,0.91,0.0335410196624968,0.9774993138943272,0.0084417766716455,0.94375,0.0228574044348871
9-8-7,UjaNet,DeepONMF_H3,0.992,0.0083666002653407,0.99375,0.0062499999999999,0.985,0.0223606797749979,0.99625,0.0055901699437494,0.989375,0.0131843894435805
