clasificador,representacion,distribucion,Score_mean,Accuracy_mean,Sensitivity_mean,Specificity_mean,Precision_mean
SVM,MFCC,No aplica,0.99375,0.996,0.99,0.9975,0.9903764603707884
UjaNet,MelSpectrogram,No aplica,0.985,0.9904,0.976,0.994,0.9767611634980355
SVM,LogMelSpectrogram,No aplica,0.984375,0.99,0.975,0.99375,0.9754662641594608
KNN,MFCC,No aplica,0.984375,0.99,0.975,0.99375,0.9761790864961596
SVM,MelSpectrogram,No aplica,0.983125,0.9892,0.973,0.99325,0.9738206826873872
SVM,STFT,No aplica,0.981875,0.9884,0.971,0.99275,0.9718738658438036
UjaNet,STFT,No aplica,0.981875,0.9884,0.971,0.9927499999999998,0.9721825846449246
UjaNet,LogMelSpectrogram,No aplica,0.981875,0.9884,0.971,0.99275,0.9718538956010372
UjaNet,MFCC,No aplica,0.980625,0.9876,0.969,0.99225,0.9696955443643503
KNN,LogMelSpectrogram,No aplica,0.98,0.9872,0.968,0.992,0.9701708385682746
KNN,MelSpectrogram,No aplica,0.973125,0.9828,0.957,0.98925,0.958110957943749
KNN,STFT,No aplica,0.971875,0.982,0.9549999999999998,0.98875,0.9557240612329724
UjaNet,DeepONMF_H3,9-8-7,0.961875,0.9756,0.939,0.98475,0.9403683132374544
UjaNet,DeepONMF_H3,8-5-3,0.96125,0.9751999999999998,0.938,0.9845,0.9401057961694652
UjaNet,DeepONMF_H3,15-10-5,0.95625,0.972,0.93,0.9825,0.931363653470468
UjaNet,DeepONMF_H3,10-6-4,0.953125,0.97,0.925,0.98125,0.9265715592127396
SVM,DeepONMF_H3,8-5-3,0.93875,0.9608,0.902,0.9755,0.904773149056212
SVM,DeepONMF_H3,10-6-4,0.9325,0.9568,0.892,0.973,0.8951278959573938
SVM,DeepONMF_H3,15-10-5,0.92875,0.9544,0.8859999999999999,0.9715,0.8881896176531983
SVM,DeepONMF_H3,9-8-7,0.928125,0.954,0.885,0.97125,0.8892995236970721
UjaNet,DeepONMF_W,8-5-3,0.920625,0.9492,0.873,0.96825,0.8814761225997048
UjaNet,DeepONMF_W,10-6-4,0.903125,0.938,0.845,0.96125,0.8502989224755803
UjaNet,DeepONMF_W,15-10-5,0.901875,0.9372,0.843,0.96075,0.8475473918477547
KNN,DeepONMF_H3,8-5-3,0.899375,0.9356,0.8390000000000001,0.95975,0.8555500177034991
UjaNet,DeepONMF_W,9-8-7,0.8975,0.9344,0.836,0.959,0.8415429079897642
KNN,DeepONMF_H3,10-6-4,0.8956250000000001,0.9332,0.833,0.95825,0.8459910257393373
KNN,DeepONMF_H3,15-10-5,0.871875,0.918,0.7949999999999999,0.94875,0.8221552169024692
KNN,DeepONMF_H3,9-8-7,0.843125,0.8996000000000001,0.749,0.93725,0.79429243858022
SVM,DeepONMF_W,10-6-4,0.835625,0.8948,0.737,0.93425,0.746889822840441
SVM,DeepONMF_W,8-5-3,0.835625,0.8948,0.737,0.93425,0.7475231932915423
SVM,DeepONMF_W,15-10-5,0.8225,0.8864000000000001,0.716,0.929,0.7211477914250988
SVM,DeepONMF_W,9-8-7,0.815625,0.882,0.705,0.92625,0.7086501547289049
KNN,DeepONMF_W,8-5-3,0.780625,0.8596,0.649,0.91225,0.6773538149154336
KNN,DeepONMF_W,10-6-4,0.765625,0.85,0.625,0.90625,0.6494820245317623
KNN,DeepONMF_W,15-10-5,0.7387499999999999,0.8328,0.582,0.8955,0.61344809941709
KNN,DeepONMF_W,9-8-7,0.72,0.8208,0.552,0.8879999999999999,0.5723008392011482
