base,clasificador,protocolo_ujanet,representacion,distribucion,numero_capas,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,predicciones,aciertos,exactitud_directa,ruta_matriz_png,ruta_matriz_conteos,ruta_predicciones,snr_db,inicializacion_onmf
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H3_opt_SNR0db,32-8-2,3.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H4_opt_SNR0db,32-13-5-2,4.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,LogMel,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\LogMel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\LogMel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\LogMel\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,MFCC,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\MFCC\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\MFCC\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\MFCC\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,Mel,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\Mel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\Mel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\Mel\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,STFT,,,0.72,0.0565685424949237,0.3,0.1414213562373095,0.825,0.0353553390593273,0.1699999999999999,0.1838477631085023,0.5625,0.0883883476483184,10,3,0.3,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\STFT\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\STFT\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_5db\STFT\matriz_confusion_agregada\predicciones_agregadas.csv,5.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H1_opt_SNR0db,8,1.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H2_opt_SNR0db,32-2,2.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H2_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H2_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H2_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H3_opt_SNR0db,32-8-2,3.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H3_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H4_opt_SNR0db,32-13-5-2,4.0,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\DeepONMF_H4_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,LogMel,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\LogMel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\LogMel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\LogMel\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,MFCC,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\MFCC\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\MFCC\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\MFCC\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,Mel,,,0.72,0.0565685424949237,0.3,0.1414213562373095,0.825,0.0353553390593273,0.1533333333333333,0.1602775370689507,0.5625,0.0883883476483184,10,3,0.3,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\Mel\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\Mel\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\Mel\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,STFT,,,0.68,0.0,0.2,0.0,0.8,0.0,0.04,0.0,0.5,0.0,10,2,0.2,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\STFT\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\STFT\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_0db\STFT\matriz_confusion_agregada\predicciones_agregadas.csv,0.0,nndsvd
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H1_opt_SNR0db,8,1.0,0.72,0.0565685424949237,0.3,0.1414213562373095,0.825,0.0353553390593273,0.145,0.1484924240491749,0.5625,0.0883883476483184,10,3,0.3,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_-5db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_-5db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\04_resultados_optimizacion_SNR0db\evaluacion_ujanet\SNR_-5db\DeepONMF_H1_opt_SNR0db\matriz_confusion_agregada\predicciones_agregadas.csv,-5.0,nndsvd
